"trialId","answer","correctAnswer","pid"
"q1","December","December","p60"
"q2","$37.04 - $60.95","$37.04 - $60.95","p60"
"q3","Falling","Falling","p60"
"q4","$15","$15","p60"
"q5","15 Mbps","15 Mbps","p60"
"q6","South Korea","South Korea","p60"
"q7","2 - 20.5 Mbps","2 - 20.5 Mbps","p60"
"q8","7 Countries","7 Countries","p60"
"q9","$12","$12","p60"
"q10","4 to 10","4 to 10","p60"
"q11","Washington D.C.","Washington D.C.","p60"
"q12","True","True","p60"
"q13","False","False","p60"
"q14","38%","38%","p60"
"q15","College Graduate","College Graduate","p60"
"q16","False","False","p60"
"q17","25%","25%","p60"
"q18","Lenovo","Lenovo","p60"
"q19","True","True","p60"
"q20","153","153","p60"
"q21","4.4-4.6","4.4-4.6","p60"
"q22","True","True","p60"
"q23","70.5kg","70.5kg","p60"
"q24","197.1cm","197.1cm","p60"
"q25","53.9 - 123.6kg","53.9 - 123.6kg","p60"
"q26","197.1cm","175.3cm","p60"
"q27","True","True","p60"
"q28","False","False","p60"
"q29","False","False","p60"
"q30","$5.1","$5.1","p60"
"q31","December 2014","December 2014","p60"
"q32","$4.6 - $5.9","$4.6 - $6.0","p60"
"q33","Falling","Falling","p60"
"q34","8000","4200","p60"
"q35","1 to 2","1 to 1","p60"
"q36","2012","2012","p60"
"q37","Rising","Rising","p60"
"q38","True","False","p60"
"q39","True","False","p60"
"q40","530km","530km","p60"
"q41","New York City","New York City","p60"
"q42","150 - 600 km","180 - 560 km","p60"
"q43","New York City","New York City","p60"
"q44","False","False","p60"
"q45","False","False","p60"
"q46","False","False","p60"
"q47","2.3 - 3.4%","3.4 - 4.6%","p60"
"q48","New Mexico (NM)","New Mexico (NM)","p60"
"q49","True","True","p60"
"q50","Google","Google","p60"
"q51","False","False","p60"
"q52","False","False","p60"
"q0","$50.24","$50.24","p17"
"q1","December","December","p17"
"q2","$37.04 - $60.95","$37.04 - $60.95","p17"
"q3","Falling","Falling","p17"
"q4","$15","$15","p17"
"q5","15 Mbps","15 Mbps","p17"
"q6","South Korea","South Korea","p17"
"q7","2 - 20.5 Mbps","2 - 20.5 Mbps","p17"
"q8","7 Countries","7 Countries","p17"
"q9","$35.4","$12","p17"
"q10","4 to 10","4 to 10","p17"
"q11","Washington D.C.","Washington D.C.","p17"
"q12","True","True","p17"
"q13","False","False","p17"
"q14","38%","38%","p17"
"q15","College Graduate","College Graduate","p17"
"q16","True","False","p17"
"q17","25%","25%","p17"
"q18","Lenovo","Lenovo","p17"
"q19","True","True","p17"
"q20","153","153","p17"
"q21","4.4-4.6","4.4-4.6","p17"
"q22","True","True","p17"
"q23","70.5kg","70.5kg","p17"
"q24","197.1cm","197.1cm","p17"
"q25","53.9 - 123.6kg","53.9 - 123.6kg","p17"
"q26","175.3cm","175.3cm","p17"
"q27","True","True","p17"
"q28","False","False","p17"
"q29","False","False","p17"
"q30","$5.1","$5.1","p17"
"q31","June 2014","December 2014","p17"
"q32","$4.6 - $6.0","$4.6 - $6.0","p17"
"q33","Falling","Falling","p17"
"q34","8000","4200","p17"
"q35","1 to 2","1 to 1","p17"
"q36","2012","2012","p17"
"q37","Rising","Rising","p17"
"q38","True","False","p17"
"q39","True","False","p17"
"q40","530km","530km","p17"
"q41","New York City","New York City","p17"
"q42","180 - 560 km","180 - 560 km","p17"
"q43","New York City","New York City","p17"
"q44","False","False","p17"
"q45","False","False","p17"
"q46","False","False","p17"
"q47","2.3 - 3.4%","3.4 - 4.6%","p17"
"q48","New Mexico (NM)","New Mexico (NM)","p17"
"q49","True","True","p17"
"q50","Google","Google","p17"
"q51","False","False","p17"
"q52","False","False","p17"
"q0","$50.24","$50.24","p32"
"q1","December","December","p32"
"q2","$37.04 - $48.36","$37.04 - $60.95","p32"
"q3","Falling","Falling","p32"
"q4","$15","$15","p32"
"q5","15 Mbps","15 Mbps","p32"
"q6","South Korea","South Korea","p32"
"q7","2 - 20.5 Mbps","2 - 20.5 Mbps","p32"
"q8"," 6 Countries","7 Countries","p32"
"q9","$35.4","$12","p32"
"q10","4 to 10","4 to 10","p32"
"q11","Las Vegas","Washington D.C.","p32"
"q12","False","True","p32"
"q13","False","False","p32"
"q14","38%","38%","p32"
"q15","College Graduate","College Graduate","p32"
"q16","True","False","p32"
"q17","25%","25%","p32"
"q18","Lenovo","Lenovo","p32"
"q19","True","True","p32"
"q20","153","153","p32"
"q21","4.4-4.6","4.4-4.6","p32"
"q22","True","True","p32"
"q23","82.7kg","70.5kg","p32"
"q24","197.1cm","197.1cm","p32"
"q25","53.9 - 123.6kg","53.9 - 123.6kg","p32"
"q26","175.3cm","175.3cm","p32"
"q27","True","True","p32"
"q28","True","False","p32"
"q29","True","False","p32"
"q30","$5.2","$5.1","p32"
"q31","December 2014","December 2014","p32"
"q32","$4.6 - $6.0","$4.6 - $6.0","p32"
"q33","Falling","Falling","p32"
"q34","8000","4200","p32"
"q35","1 to 4","1 to 1","p32"
"q36","2012","2012","p32"
"q37","Rising","Rising","p32"
"q38","True","False","p32"
"q39","True","False","p32"
"q40","530km","530km","p32"
"q41","New York City","New York City","p32"
"q42","180 - 560 km","180 - 560 km","p32"
"q43","New York City","New York City","p32"
"q44","False","False","p32"
"q45","True","False","p32"
"q46","True","False","p32"
"q47","2.3 - 3.4%","3.4 - 4.6%","p32"
"q48","New Mexico (NM)","New Mexico (NM)","p32"
"q49","True","True","p32"
"q50","Google","Google","p32"
"q51","True","False","p32"
"q52","True","False","p32"
"q0","$50.24","$50.24","p29"
"q1","December","December","p29"
"q2","$37.04 - $60.95","$37.04 - $60.95","p29"
"q3","Falling","Falling","p29"
"q4","$15","$15","p29"
"q5","15 Mbps","15 Mbps","p29"
"q6","South Korea","South Korea","p29"
"q7","2 - 20.5 Mbps","2 - 20.5 Mbps","p29"
"q8"," 6 Countries","7 Countries","p29"
"q9","$35.4","$12","p29"
"q10","4 to 10","4 to 10","p29"
"q11","Las Vegas","Washington D.C.","p29"
"q12","False","True","p29"
"q13","True","False","p29"
"q14","53%","38%","p29"
"q15","College Graduate","College Graduate","p29"
"q16","False","False","p29"
"q17","33%","25%","p29"
"q18","Lenovo","Lenovo","p29"
"q19","True","True","p29"
"q20","153","153","p29"
"q21","4.4-4.6","4.4-4.6","p29"
"q22","True","True","p29"
"q23","70.5kg","70.5kg","p29"
"q24","197.1cm","197.1cm","p29"
"q25","53.9 - 123.6kg","53.9 - 123.6kg","p29"
"q26","197.1cm","175.3cm","p29"
"q27","True","True","p29"
"q28","False","False","p29"
"q29","True","False","p29"
"q30","$5.1","$5.1","p29"
"q31","June 2014","December 2014","p29"
"q32","$4.6 - $6.1","$4.6 - $6.0","p29"
"q33","Falling","Falling","p29"
"q34","8000","4200","p29"
"q35","1 to 2","1 to 1","p29"
"q36","2012","2012","p29"
"q37","Rising","Rising","p29"
"q38","True","False","p29"
"q39","True","False","p29"
"q40","560km","530km","p29"
"q41","New York City","New York City","p29"
"q42","240 - 560 km","180 - 560 km","p29"
"q43","Tokyo","New York City","p29"
"q44","False","False","p29"
"q45","True","False","p29"
"q46","True","False","p29"
"q47","3.4 - 4.6%","3.4 - 4.6%","p29"
"q48","New Mexico (NM)","New Mexico (NM)","p29"
"q49","True","True","p29"
"q50","Google","Google","p29"
"q51","False","False","p29"
"q52","False","False","p29"
"q0","$50.24","$50.24","p11"
"q1","December","December","p11"
"q2","$35 - $65","$37.04 - $60.95","p11"
"q3","Falling","Falling","p11"
"q4","$15","$15","p11"
"q5","15 Mbps","15 Mbps","p11"
"q6","South Korea","South Korea","p11"
"q7","0 - 22 Mbps","2 - 20.5 Mbps","p11"
"q8","7 Countries","7 Countries","p11"
"q9","$12","$12","p11"
"q10","4 to 10","4 to 10","p11"
"q11","Washington D.C.","Washington D.C.","p11"
"q12","True","True","p11"
"q13","False","False","p11"
"q14","38%","38%","p11"
"q15","College Graduate","College Graduate","p11"
"q16","False","False","p11"
"q17","25%","25%","p11"
"q18","Lenovo","Lenovo","p11"
"q19","True","True","p11"
"q20","153","153","p11"
"q21","4.4-4.6","4.4-4.6","p11"
"q22","True","True","p11"
"q23","70.5kg","70.5kg","p11"
"q24","197.1cm","197.1cm","p11"
"q25","40 - 130kg","53.9 - 123.6kg","p11"
"q26","197.1cm","175.3cm","p11"
"q27","True","True","p11"
"q28","False","False","p11"
"q29","False","False","p11"
"q30","$5.1","$5.1","p11"
"q31","December 2014","December 2014","p11"
"q32","$4.4 - $6.2","$4.6 - $6.0","p11"
"q33","Falling","Falling","p11"
"q34","8000","4200","p11"
"q35","1 to 1","1 to 1","p11"
"q36","2012","2012","p11"
"q37","Rising","Rising","p11"
"q38","True","False","p11"
"q39","True","False","p11"
"q40","530km","530km","p11"
"q41","Beijing","New York City","p11"
"q42","150 - 600 km","180 - 560 km","p11"
"q43","New York City","New York City","p11"
"q44","False","False","p11"
"q45","True","False","p11"
"q46","False","False","p11"
"q47","2.3 - 3.4%","3.4 - 4.6%","p11"
"q48","New Mexico (NM)","New Mexico (NM)","p11"
"q49","True","True","p11"
"q50","Google","Google","p11"
"q51","False","False","p11"
"q52","False","False","p11"
"q0","$50.24","$50.24","p16"
"q1","December","December","p16"
"q2","$37.04 - $60.95","$37.04 - $60.95","p16"
"q3","Falling","Falling","p16"
"q4","$15","$15","p16"
"q5","15 Mbps","15 Mbps","p16"
"q6","South Korea","South Korea","p16"
"q7","2 - 20.5 Mbps","2 - 20.5 Mbps","p16"
"q8"," 6 Countries","7 Countries","p16"
"q9","$12","$12","p16"
"q10","4 to 10","4 to 10","p16"
"q11","Washington D.C.","Washington D.C.","p16"
"q12","True","True","p16"
"q13","False","False","p16"
"q14","38%","38%","p16"
"q15","College Graduate","College Graduate","p16"
"q16","True","False","p16"
"q17","25%","25%","p16"
"q18","Lenovo","Lenovo","p16"
"q19","True","True","p16"
"q20","153","153","p16"
"q21","4.4-4.6","4.4-4.6","p16"
"q22","True","True","p16"
"q23","70.5kg","70.5kg","p16"
"q24","197.1cm","197.1cm","p16"
"q25","53.9 - 123.6kg","53.9 - 123.6kg","p16"
"q26","175.3cm","175.3cm","p16"
"q27","True","True","p16"
"q28","False","False","p16"
"q29","False","False","p16"
"q30","$5.2","$5.1","p16"
"q31","June 2014","December 2014","p16"
"q32","$4.6 - $6.0","$4.6 - $6.0","p16"
"q33","Falling","Falling","p16"
"q34","4200","4200","p16"
"q35","1 to 1","1 to 1","p16"
"q36","2012","2012","p16"
"q37","Rising","Rising","p16"
"q38","False","False","p16"
"q39","False","False","p16"
"q40","530km","530km","p16"
"q41","New York City","New York City","p16"
"q42","180 - 560 km","180 - 560 km","p16"
"q43","New York City","New York City","p16"
"q44","False","False","p16"
"q45","True","False","p16"
"q46","False","False","p16"
"q47","2.3 - 3.4%","3.4 - 4.6%","p16"
"q48","New Mexico (NM)","New Mexico (NM)","p16"
"q49","True","True","p16"
"q50","Google","Google","p16"
"q51","False","False","p16"
"q52","False","False","p16"
"q0","$50.24","$50.24","p82"
"q1","December","December","p82"
"q2","$37.04 - $60.95","$37.04 - $60.95","p82"
"q3","Falling","Falling","p82"
"q4","$15","$15","p82"
"q5","15 Mbps","15 Mbps","p82"
"q6","South Korea","South Korea","p82"
"q7","3.4 - 7.8 Mbps","2 - 20.5 Mbps","p82"
"q8","7 Countries","7 Countries","p82"
"q9","$35.4","$12","p82"
"q10","4 to 10","4 to 10","p82"
"q11","New York City","Washington D.C.","p82"
"q12","False","True","p82"
"q13","False","False","p82"
"q14","62%","38%","p82"
